purchase,coupon,loyalty,age,months
41382.0,0,-1.284,32.6,24
30182.0,0,-1.738,54.8,24
38109.0,0,0.461,32.2,27
79554.0,0,2.219,33.2,25
32507.0,1,-1.699,38.8,20
38122.0,0,0.138,20.3,25
39938.0,0,0.411,44.2,25
34658.0,0,-0.985,29.0,27
52912.0,1,0.204,19.0,20
41342.0,0,-1.097,35.2,23
64867.0,1,1.2,35.4,29
29371.0,0,-0.594,47.5,17
45828.0,1,0.101,42.8,23
60736.0,1,0.684,33.0,25
53683.0,1,-0.43,46.5,33
14463.0,0,-1.791,45.9,24
45538.0,0,-0.531,55.8,19
44124.0,0,0.763,30.4,26
32702.0,1,-0.085,39.2,23
64522.0,1,0.23,30.4,28
33439.0,0,-1.08,40.1,27
64414.0,1,0.143,51.7,22
61203.0,1,0.728,47.7,18
45777.0,1,0.036,35.1,27
74569.0,0,1.908,14.3,21
44567.0,0,-0.208,31.3,21
37061.0,0,-1.041,35.2,25
13826.0,0,-1.618,42.1,16
63613.0,1,1.152,50.3,28
44990.0,1,-0.059,49.2,21
50509.0,1,1.012,41.5,33
50174.0,1,0.458,47.5,20
70672.0,1,1.625,29.3,25
58105.0,0,1.266,30.3,20
49552.0,1,-0.378,51.3,26
56305.0,1,0.274,41.3,18
51226.0,1,1.085,47.4,13
33730.0,1,-1.236,46.6,24
57930.0,0,1.451,44.6,23
52918.0,0,1.212,36.2,23
68150.0,0,0.983,46.1,21
44249.0,0,-0.201,38.0,23
54238.0,0,0.302,46.7,23
33790.0,0,-1.117,48.0,22
38622.0,0,0.058,36.7,18
38909.0,0,-0.587,57.2,26
45197.0,0,0.087,39.0,21
32705.0,0,-0.495,52.4,16
54178.0,1,0.284,27.2,28
62245.0,0,1.179,46.9,16
29996.0,1,-1.31,26.1,19
63624.0,0,0.925,28.8,25
6768.0,1,-1.992,23.1,28
26136.0,1,-2.161,35.2,26
41822.0,0,-0.119,38.7,27
38300.0,1,0.007,33.1,12
62234.0,1,0.443,60.7,26
28192.0,0,-1.647,47.6,16
42011.0,0,-0.06,28.1,16
44179.0,1,0.127,38.6,28
64331.0,0,1.255,36.1,23
54023.0,0,-0.104,41.3,22
60921.0,0,0.529,38.2,25
29648.0,1,-0.977,24.1,17
31494.0,1,-0.188,56.9,18
43045.0,0,-0.446,50.1,23
50500.0,0,0.703,44.5,25
22171.0,1,-0.989,50.0,17
45637.0,1,-0.834,42.3,25
56115.0,1,0.576,31.4,17
56529.0,0,1.789,27.0,37
63707.0,1,0.383,44.7,20
33275.0,0,0.304,29.8,23
38535.0,0,-0.346,34.7,32
67240.0,0,1.088,26.9,26
54961.0,1,0.54,44.8,16
62319.0,0,1.733,34.5,19
55533.0,1,0.331,40.5,29
50342.0,1,-0.949,34.4,32
32627.0,1,-0.57,26.9,26
34537.0,0,-0.987,43.5,21
30739.0,1,-1.251,37.4,24
53261.0,1,1.264,30.1,24
67090.0,0,0.807,46.2,35
23464.0,1,-1.239,50.5,34
69998.0,0,1.781,56.1,25
51257.0,1,0.245,46.3,20
23345.0,0,-0.957,41.2,14
43898.0,0,0.386,48.0,23
38477.0,1,-0.069,30.7,25
49828.0,0,-0.773,37.9,27
13917.0,1,-1.943,39.4,18
33228.0,1,0.037,21.6,22
65262.0,0,0.292,43.9,32
14681.0,0,-2.579,47.8,21
53255.0,0,0.555,36.3,15
52620.0,1,0.618,50.1,25
42032.0,1,-0.47,28.9,28
40200.0,0,0.112,48.2,19
50628.0,1,-0.281,48.9,28
42316.0,1,-0.837,33.3,28
37978.0,1,-0.36,38.9,30
64302.0,1,1.352,33.6,25
32895.0,1,-1.451,27.0,28
52542.0,0,0.237,24.4,15
45625.0,0,0.184,27.1,25
39252.0,0,-0.708,41.4,23
47373.0,0,-0.44,22.0,14
23948.0,0,-1.4,36.4,25
38100.0,0,-0.852,62.5,25
62768.0,1,0.015,44.8,22
48288.0,0,0.327,40.0,25
28986.0,0,-0.898,33.2,20
96898.0,1,3.056,15.0,25
30813.0,0,-0.57,45.8,26
64079.0,1,0.127,47.5,17
52729.0,1,-0.231,36.3,24
35418.0,1,-0.4,29.6,18
66128.0,0,1.301,37.5,23
44360.0,0,-0.479,29.8,26
72185.0,1,1.334,47.1,22
45191.0,1,1.142,36.6,28
27427.0,1,-1.046,45.0,30
59727.0,1,1.035,28.7,25
37220.0,1,-0.65,23.3,20
83130.0,1,2.736,13.7,14
28931.0,0,-0.386,40.6,17
27726.0,1,-0.941,23.8,22
37569.0,0,-1.911,49.7,26
40562.0,0,-1.293,37.8,27
41968.0,0,-0.581,37.8,25
28642.0,1,-0.998,19.3,22
36712.0,1,-1.229,44.9,20
42707.0,1,-0.695,43.7,25
45712.0,0,-0.207,51.8,15
70814.0,0,1.449,34.2,24
30595.0,0,-1.703,40.4,18
37524.0,0,-0.552,41.7,30
38194.0,1,-0.954,44.9,21
28649.0,0,-1.515,46.8,23
23820.0,1,-1.266,40.6,19
31881.0,0,-0.906,42.7,31
62570.0,1,0.717,45.4,28
38297.0,1,-0.194,52.4,22
32924.0,0,-0.538,47.9,21
56422.0,0,0.611,41.7,21
65082.0,1,0.281,36.7,22
34003.0,0,-0.223,34.1,14
58983.0,1,0.384,46.1,31
28125.0,1,-0.828,29.5,41
52346.0,1,0.627,28.4,22
33960.0,0,0.467,38.2,19
44665.0,1,-0.412,33.4,30
26292.0,1,-1.219,35.9,16
56993.0,0,1.52,42.0,25
56267.0,1,0.094,37.3,27
95076.0,0,3.051,41.4,34
44565.0,0,-0.653,41.7,24
49162.0,0,0.853,38.1,27
50017.0,1,-0.434,30.6,33
41966.0,0,0.254,44.6,24
61913.0,0,0.833,39.1,29
25703.0,1,-0.799,33.2,26
40404.0,0,-0.1,29.4,24
52936.0,0,0.161,39.0,20
45135.0,0,0.113,57.4,22
54138.0,0,0.596,38.9,25
64694.0,1,1.026,46.6,30
50317.0,0,0.834,34.4,25
52879.0,0,0.263,31.1,20
37757.0,0,-0.347,49.6,19
32368.0,0,-1.13,42.0,19
43688.0,0,-0.735,27.9,26
41451.0,1,-0.529,50.2,25
39164.0,1,0.683,37.5,13
38831.0,1,-0.364,49.4,18
32962.0,0,-1.242,50.5,24
43084.0,1,0.626,37.7,21
24708.0,1,-0.803,30.6,30
33396.0,1,-0.766,51.6,30
40996.0,0,-0.226,59.7,21
54519.0,1,0.473,41.4,22
8310.0,0,-2.413,23.6,18
35428.0,1,-1.121,34.6,21
44952.0,0,0.176,44.4,27
34877.0,1,-0.364,20.8,21
31347.0,1,-0.865,31.5,13
38140.0,0,-0.541,30.1,37
64711.0,1,1.385,33.9,19
54380.0,0,-0.456,59.0,19
45987.0,1,0.713,40.6,27
61953.0,1,0.792,55.3,31
37527.0,1,-0.45,41.2,27
63438.0,0,0.443,39.4,33
38535.0,0,-0.45,37.6,25
36437.0,1,-0.61,39.4,25
39180.0,0,-1.126,52.9,21
57727.0,1,0.875,49.0,33
27140.0,0,-0.398,46.3,25
47561.0,1,-0.552,48.7,21
39842.0,1,-1.127,27.8,23
86708.0,1,1.809,32.3,34
70582.0,0,0.742,24.8,26
57300.0,0,-0.133,32.1,25
49262.0,1,-0.695,49.2,30
26938.0,0,-1.53,29.4,29
50146.0,0,0.292,29.6,31
40130.0,0,0.288,32.8,23
28155.0,1,-1.408,25.6,28
65660.0,0,1.162,39.2,32
51171.0,0,0.776,44.8,25
38060.0,0,-0.962,51.0,34
34080.0,1,-0.556,40.5,23
35894.0,0,-0.427,44.4,22
44663.0,0,0.161,49.1,25
35488.0,0,-0.146,33.3,18
35984.0,0,-1.639,33.2,18
68906.0,1,1.474,42.4,23
49207.0,1,0.316,39.8,25
65120.0,0,1.261,36.9,25
58661.0,1,1.255,38.5,27
56679.0,0,-0.208,33.2,24
57362.0,1,0.342,28.6,26
29879.0,0,0.737,40.7,18
48932.0,1,0.77,33.6,25
42465.0,1,-0.164,30.6,17
39440.0,0,-0.618,45.8,23
54630.0,1,0.035,40.2,20
30958.0,0,-0.802,49.9,25
40212.0,0,-0.556,32.8,25
31941.0,1,-2.03,49.9,29
61653.0,1,0.084,57.8,26
39013.0,1,-1.027,34.3,20
50632.0,1,-0.556,33.5,31
32789.0,0,-0.053,30.8,17
44945.0,1,0.314,31.4,26
64795.0,1,1.889,36.3,22
44388.0,0,0.204,41.2,17
20005.0,0,-1.413,33.7,22
59967.0,1,0.131,43.2,31
39615.0,0,-0.596,28.5,29
57741.0,0,0.399,35.3,25
35286.0,1,-0.686,47.3,22
36970.0,1,-0.708,50.6,26
46993.0,1,-0.511,54.9,20
50112.0,0,-0.628,53.3,28
26549.0,1,-1.825,49.6,24
38445.0,1,-0.668,22.7,28
44220.0,1,-0.014,31.8,20
60290.0,1,1.2,33.1,19
38920.0,1,-0.293,37.7,18
56439.0,0,-0.372,42.1,28
62471.0,1,0.58,52.3,21
60737.0,1,0.539,33.4,26
64003.0,0,1.6,12.7,25
53825.0,1,0.585,25.2,27
49544.0,1,-0.019,41.6,22
61005.0,1,1.338,44.3,22
59324.0,0,1.529,27.7,20
32376.0,1,-0.475,47.1,27
49631.0,1,0.158,40.5,31
22752.0,1,-1.681,51.7,23
41177.0,0,-0.364,13.3,24
36767.0,0,-0.884,39.6,23
36151.0,1,-0.214,36.8,22
54202.0,1,-0.482,39.1,27
56923.0,0,-0.166,34.5,29
34963.0,0,-0.103,31.1,23
59471.0,1,0.493,34.9,24
39891.0,0,0.231,25.6,21
38356.0,0,-0.562,15.5,30
35004.0,0,-1.289,44.2,17
65952.0,1,1.235,32.9,28
65068.0,1,1.417,28.6,25
54700.0,0,-0.454,50.5,34
63495.0,1,0.561,35.7,24
26237.0,0,-1.526,36.6,26
34480.0,0,-1.562,44.3,30
48108.0,1,-0.27,34.6,28
68015.0,1,1.472,39.9,27
29529.0,1,-1.047,30.1,18
36579.0,0,-0.834,48.8,24
73064.0,1,1.608,38.8,29
15031.0,1,-1.893,54.5,20
47170.0,0,0.646,44.6,19
54073.0,0,0.488,50.4,24
29565.0,1,-0.206,34.3,34
44644.0,0,0.189,32.9,20
81591.0,1,2.622,47.0,26
39354.0,0,-1.127,46.8,15
31769.0,1,-0.314,36.1,25
44669.0,0,-0.238,44.5,20
33524.0,0,-0.69,36.4,23
40482.0,1,-1.342,43.2,31
54674.0,1,1.593,31.3,22
51986.0,1,0.22,45.9,21
26160.0,1,-1.758,34.2,19
34612.0,0,-0.703,43.3,29
45631.0,0,0.405,35.2,29
48233.0,0,0.403,38.8,23
40537.0,1,-1.44,39.3,25
55584.0,1,-0.091,40.4,25
41420.0,1,0.261,50.7,18
33821.0,1,0.393,55.4,29
74843.0,1,0.395,43.4,23
9601.0,1,-1.823,27.0,21
74601.0,1,1.847,38.3,18
38804.0,0,0.211,28.5,18
70512.0,0,1.806,51.5,21
92108.0,1,2.863,38.7,28
56027.0,1,-0.161,36.4,32
34341.0,0,-1.234,42.1,18
46508.0,0,0.864,34.3,33
27637.0,0,-0.181,44.6,21
63581.0,1,-0.451,41.6,25
22776.0,0,-1.033,26.2,23
66203.0,1,1.688,45.3,27
53020.0,1,-0.443,33.5,28
26816.0,1,-1.4,46.2,33
59460.0,0,-0.448,18.6,25
35326.0,0,-1.157,54.9,19
54183.0,1,0.158,34.5,24
36007.0,1,-0.419,35.5,24
39543.0,1,-1.057,49.8,33
37438.0,0,0.602,31.4,25
33141.0,0,-0.643,47.7,19
58099.0,1,0.724,22.8,19
60362.0,0,1.261,52.2,20
39496.0,0,-0.362,53.3,24
34317.0,1,-0.647,45.7,14
41657.0,0,0.199,24.4,17
58286.0,1,0.891,43.1,24
31406.0,1,-0.003,41.3,23
51487.0,1,0.14,34.6,26
53561.0,1,-0.027,30.4,25
27229.0,0,0.311,34.6,17
61840.0,1,0.629,32.3,26
23398.0,0,-0.706,38.7,35
52025.0,0,-0.483,47.7,20
39133.0,1,0.044,37.6,26
27507.0,0,-0.666,44.3,25
47551.0,1,0.136,39.4,29
54937.0,1,0.536,33.8,28
50272.0,0,-0.022,40.9,29
24434.0,1,-0.604,37.3,21
26523.0,0,-0.777,43.8,18
79540.0,0,1.751,56.1,28
60485.0,1,0.879,21.8,28
35177.0,1,-1.12,41.5,25
33817.0,0,-0.841,20.6,15
62162.0,0,1.874,36.6,16
62559.0,0,1.511,25.0,19
32257.0,0,0.128,42.8,18
69224.0,0,1.158,54.7,24
22842.0,0,-1.487,31.8,20
45629.0,0,0.001,41.0,16
36636.0,1,0.741,29.3,17
30119.0,1,-1.86,39.9,31
30999.0,0,-0.783,51.3,30
55394.0,1,0.783,28.6,20
54294.0,0,1.132,32.6,22
32785.0,0,-0.593,23.5,35
53437.0,0,0.29,40.8,27
69584.0,1,1.601,42.5,15
42335.0,0,-0.382,33.5,20
42821.0,1,-1.333,44.0,28
38737.0,0,-0.061,22.1,19
39666.0,0,-0.393,41.1,23
61584.0,1,1.301,35.9,19
44395.0,0,0.16,23.1,35
37473.0,1,-0.802,22.6,25
71636.0,0,2.401,28.6,34
40508.0,0,-0.5,43.5,28
41574.0,1,0.472,47.5,29
50893.0,0,0.676,40.7,22
56019.0,1,0.784,49.1,23
46594.0,0,0.173,37.6,24
66912.0,0,0.587,29.8,26
41859.0,1,-0.068,49.6,26
38990.0,1,-1.419,41.6,34
50155.0,1,-0.22,26.0,24
50317.0,0,-0.198,33.1,23
39954.0,1,-0.178,45.1,26
58967.0,1,0.136,46.8,24
37465.0,0,-0.625,40.8,31
35555.0,0,1.323,28.1,22
72978.0,1,1.567,38.5,16
24479.0,1,-2.2,53.6,20
48506.0,1,0.009,44.7,27
42528.0,1,-0.711,49.8,31
22471.0,1,-2.606,28.2,19
48063.0,1,0.41,34.0,29
39452.0,1,-0.619,41.4,17
34247.0,0,-0.376,40.9,26
30381.0,0,-0.652,36.4,28
71961.0,1,1.087,21.8,31
48813.0,1,1.239,41.1,24
62495.0,0,0.277,39.9,15
63458.0,1,0.693,32.1,19
54084.0,0,-0.112,46.9,14
68791.0,1,0.14,61.7,19
37623.0,0,-0.742,39.6,23
53441.0,0,0.035,37.6,26
53066.0,0,-0.714,47.8,30
44457.0,0,0.373,59.1,15
49807.0,0,0.827,40.3,16
44518.0,1,0.311,37.7,24
70767.0,0,1.184,35.7,23
80190.0,1,2.69,59.0,29
35427.0,1,-2.107,47.6,30
43336.0,0,0.014,47.7,25
29531.0,0,-0.569,40.1,15
48799.0,0,-0.457,35.0,24
36799.0,0,-1.358,34.0,22
51874.0,1,0.053,50.2,31
42338.0,0,-0.258,56.3,26
34235.0,0,-0.633,32.0,21
44808.0,1,-0.254,50.9,22
35566.0,1,-0.593,22.6,25
28842.0,1,-2.343,17.6,22
56914.0,1,1.077,36.7,12
39936.0,1,-0.303,43.1,27
36794.0,0,-0.95,47.9,16
40492.0,0,0.306,34.8,26
33905.0,1,-0.662,31.5,32
17200.0,1,-2.174,50.7,27
50163.0,0,0.887,12.6,19
28651.0,0,-1.677,45.0,17
50638.0,0,-0.218,41.2,25
42912.0,0,0.12,27.2,21
60645.0,0,1.35,32.9,35
73234.0,0,1.19,54.6,22
38641.0,0,0.166,11.0,25
17633.0,0,-0.763,33.6,24
40470.0,0,-0.416,24.1,28
66134.0,1,1.088,37.4,19
78086.0,0,1.786,39.5,28
50294.0,0,0.544,39.5,25
31955.0,0,-0.645,43.3,24
62394.0,0,1.029,45.6,25
44941.0,1,-0.375,42.2,16
53509.0,0,-0.408,25.5,27
32395.0,1,-0.279,30.1,26
60264.0,1,0.59,47.5,18
48313.0,1,0.275,34.1,28
56989.0,1,0.993,45.6,26
77096.0,0,1.296,48.6,22
53298.0,1,0.513,9.8,12
28702.0,0,-2.332,58.0,14
31832.0,0,-1.697,45.4,18
52454.0,1,0.159,44.9,20
52540.0,0,-0.065,48.3,32
75716.0,1,2.159,46.5,19
42741.0,0,-0.03,48.9,23
47666.0,1,-0.153,32.1,34
53621.0,1,0.944,38.2,23
59767.0,0,1.064,34.3,29
51910.0,1,-0.235,36.6,20
54946.0,0,0.473,41.0,25
21701.0,1,-1.134,40.0,31
32331.0,1,-0.943,36.0,24
54040.0,0,1.233,32.7,26
18353.0,0,-1.407,30.2,28
60553.0,1,0.922,36.2,35
61302.0,1,0.678,29.7,21
61634.0,0,0.77,31.0,29
55678.0,1,0.913,45.4,36
51705.0,1,0.564,46.9,31
11460.0,1,-2.141,33.6,20
39650.0,1,-1.004,31.2,24
35962.0,0,-0.601,17.8,24
64650.0,1,0.915,34.9,20
28341.0,1,-1.128,39.5,18
52031.0,1,-0.705,34.6,24
45405.0,1,-0.363,34.3,19
53190.0,1,1.316,47.2,24
26080.0,1,-1.441,44.5,16
45685.0,1,-1.354,33.0,29
67109.0,1,0.627,55.3,21
29376.0,1,-2.126,51.2,24
38969.0,1,0.332,60.3,29
