purchase,coupon,age,months,app_open,loyalty
24403.0,1,42.2,30,1.0,-1.078
36368.0,0,44.0,23,6.0,-0.715
38096.0,0,47.6,23,11.0,0.68
36218.0,1,56.1,17,5.0,-0.73
49465.0,1,43.1,13,11.0,0.216
53899.0,1,27.4,29,10.0,0.046
30802.0,1,35.4,20,5.0,-0.652
73179.0,0,41.1,20,24.0,2.144
66057.0,0,58.7,18,13.0,0.634
13876.0,0,24.0,27,0.0,-2.025
35865.0,0,50.0,21,6.0,0.186
39647.0,0,39.8,25,5.0,-0.662
47350.0,0,46.4,27,14.0,0.852
28185.0,0,37.0,22,1.0,-0.793
48546.0,0,29.6,19,8.0,-0.115
68401.0,1,45.5,16,8.0,0.505
45565.0,0,44.5,11,12.0,0.866
29755.0,1,47.7,28,0.0,-1.2
40647.0,1,37.9,26,9.0,-0.335
32618.0,0,32.0,18,5.0,-0.475
49088.0,0,22.4,19,8.0,-0.653
66570.0,1,46.2,27,20.0,1.765
47394.0,0,42.2,25,11.0,0.405
40950.0,0,28.3,23,0.0,-1.261
63420.0,1,32.6,28,11.0,0.918
80853.0,1,33.3,26,22.0,2.122
52116.0,1,23.2,31,14.0,1.032
20500.0,0,29.8,21,0.0,-1.519
28971.0,0,26.7,24,2.0,-0.484
68994.0,1,33.9,25,14.0,1.267
44402.0,0,30.6,21,7.0,-0.708
42487.0,0,21.7,22,15.0,0.444
57216.0,1,58.2,24,13.0,0.775
32992.0,0,50.5,24,3.0,-0.927
33939.0,1,30.2,26,7.0,-0.06
2723.0,0,40.7,33,0.0,-3.241
38720.0,0,42.2,21,5.0,-1.024
38552.0,1,49.9,19,10.0,-0.253
29343.0,0,29.8,24,0.0,-1.248
57563.0,1,48.9,19,18.0,1.632
27064.0,0,32.5,31,0.0,-1.43
33609.0,0,24.6,27,5.0,-0.44
40882.0,1,45.2,25,11.0,0.131
73755.0,1,50.9,26,14.0,1.441
41225.0,1,63.9,24,0.0,-1.436
51202.0,1,26.0,19,16.0,1.163
47242.0,1,45.0,24,8.0,0.01
35562.0,1,33.9,23,4.0,-0.982
41202.0,1,45.8,30,11.0,0.462
36406.0,1,23.3,22,12.0,0.199
46994.0,0,25.4,29,1.0,-0.6
38353.0,1,30.2,21,8.0,0.07
50560.0,0,38.8,25,6.0,-0.385
37637.0,1,31.6,25,3.0,0.114
61805.0,1,44.6,23,10.0,0.662
67282.0,1,48.3,31,16.0,1.586
33679.0,1,44.0,30,2.0,-1.238
91872.0,1,54.2,30,19.0,2.133
11165.0,0,42.2,20,0.0,-1.952
45512.0,0,25.8,22,9.0,-0.152
57733.0,0,51.6,21,8.0,0.588
78101.0,1,31.9,29,6.0,0.281
31276.0,0,47.1,30,4.0,-0.623
42455.0,1,53.7,23,4.0,-0.208
46496.0,0,42.6,26,2.0,-0.493
32281.0,0,23.0,16,6.0,-0.589
50713.0,0,28.8,28,15.0,0.85
61528.0,1,51.2,23,12.0,0.357
34499.0,0,36.3,26,6.0,-0.693
51980.0,1,38.8,26,16.0,0.9
53436.0,0,45.6,14,6.0,0.307
60801.0,1,45.0,20,14.0,0.813
51271.0,1,40.8,14,11.0,0.63
31857.0,0,35.9,25,2.0,-0.829
27890.0,0,34.9,12,6.0,-0.56
63455.0,1,46.6,22,9.0,0.747
49274.0,0,43.5,20,8.0,0.61
41404.0,1,35.4,26,9.0,-0.021
36547.0,0,48.8,19,10.0,0.117
64676.0,1,36.7,17,16.0,1.278
32755.0,1,29.5,11,3.0,-0.592
38725.0,1,30.4,32,13.0,0.547
36079.0,1,28.2,33,8.0,-0.202
41110.0,0,35.3,30,7.0,-0.218
57792.0,0,50.3,22,12.0,1.099
53749.0,1,29.9,20,12.0,0.825
54183.0,1,39.9,21,15.0,0.814
47074.0,0,31.4,21,18.0,1.305
41865.0,1,35.4,30,7.0,0.021
59789.0,0,22.9,22,12.0,0.682
53636.0,1,35.8,32,6.0,-0.31
52223.0,0,36.1,20,10.0,0.324
50565.0,1,43.4,22,6.0,-0.13
54537.0,0,40.2,29,3.0,0.097
41978.0,0,26.0,28,14.0,0.595
41271.0,1,48.8,31,7.0,-0.818
64062.0,1,40.1,23,19.0,2.092
23802.0,0,40.0,22,0.0,-1.006
33560.0,0,37.9,26,0.0,-1.214
68495.0,1,32.8,24,15.0,1.158
52276.0,0,40.2,20,15.0,0.792
67995.0,1,42.8,18,12.0,0.624
53614.0,1,20.5,20,10.0,0.628
37631.0,0,32.6,24,5.0,-0.012
23357.0,0,35.5,16,4.0,-0.897
54039.0,0,40.6,23,10.0,0.076
40092.0,0,49.9,27,6.0,-0.677
64152.0,1,30.3,26,12.0,0.975
21025.0,0,33.0,24,11.0,-0.147
35283.0,0,32.9,20,0.0,-0.825
39847.0,1,30.0,30,7.0,-0.321
37284.0,0,34.5,20,7.0,0.413
42290.0,1,45.7,27,3.0,-0.564
43887.0,0,27.5,33,6.0,-0.822
66096.0,0,42.3,22,11.0,0.244
46324.0,0,21.0,20,8.0,0.245
31002.0,0,32.4,18,4.0,-0.507
32697.0,0,34.7,25,5.0,-0.471
60202.0,1,54.7,21,10.0,0.232
19036.0,0,35.3,24,2.0,-1.448
30388.0,0,16.0,28,0.0,-1.407
33330.0,0,18.0,13,0.0,-0.718
43554.0,0,38.3,23,7.0,-0.213
36107.0,0,44.1,20,9.0,0.311
60012.0,0,41.8,23,14.0,1.475
46878.0,1,39.7,25,14.0,0.858
43918.0,1,49.6,29,7.0,-0.16
51300.0,0,32.6,25,8.0,-0.019
45560.0,0,46.9,32,0.0,-1.003
43441.0,0,21.7,22,9.0,-0.019
35216.0,0,29.0,23,4.0,-0.289
58267.0,0,19.9,22,8.0,0.323
30792.0,0,35.3,29,3.0,-0.827
41677.0,0,37.5,23,15.0,0.519
67936.0,0,39.1,19,19.0,1.533
47450.0,0,38.6,25,10.0,-0.109
48089.0,1,28.7,30,13.0,0.402
56198.0,1,36.1,22,19.0,0.69
45276.0,1,23.0,29,6.0,-0.401
52163.0,0,51.6,29,12.0,0.224
47167.0,0,35.0,19,10.0,0.013
42593.0,1,33.1,16,11.0,0.098
40117.0,0,53.9,14,7.0,-0.773
43571.0,0,25.6,25,7.0,0.025
48113.0,1,26.7,23,10.0,0.498
60802.0,1,27.0,20,17.0,1.451
54226.0,0,37.3,18,13.0,0.959
61523.0,0,42.3,33,22.0,2.153
34608.0,1,45.4,24,7.0,-0.767
59045.0,0,63.7,21,12.0,0.872
31618.0,0,15.5,18,8.0,0.183
69031.0,1,44.1,19,21.0,2.19
52742.0,0,32.4,21,3.0,-0.808
26810.0,0,32.1,34,0.0,-0.84
32807.0,0,31.8,20,3.0,-0.599
12880.0,0,28.9,32,0.0,-2.124
42883.0,1,54.8,23,8.0,-0.526
30635.0,0,46.4,25,1.0,-0.759
46694.0,1,38.2,19,7.0,0.15
45179.0,0,51.5,24,10.0,0.342
76086.0,1,22.9,22,15.0,1.876
54062.0,0,24.7,20,13.0,0.95
29786.0,1,16.2,25,1.0,-0.577
39096.0,0,31.0,21,5.0,-0.898
43279.0,0,39.6,24,9.0,0.492
15199.0,0,39.0,17,3.0,-1.32
66977.0,0,39.5,24,21.0,1.831
76295.0,1,23.9,30,14.0,1.179
25553.0,0,46.0,23,3.0,-0.469
13954.0,0,40.4,24,0.0,-1.713
70166.0,1,45.3,19,16.0,1.354
34248.0,0,19.1,18,8.0,-0.115
65417.0,0,41.1,26,14.0,1.238
20985.0,1,26.1,28,0.0,-1.594
41547.0,1,34.0,26,5.0,-0.599
59620.0,0,43.3,24,7.0,0.005
39344.0,1,38.9,26,7.0,0.047
49712.0,1,29.5,26,5.0,-0.45
61321.0,1,38.1,27,10.0,0.623
17777.0,0,22.7,24,2.0,-1.068
49088.0,0,49.5,23,7.0,-0.142
49118.0,1,35.9,22,9.0,0.12
52380.0,0,49.2,19,15.0,0.514
56042.0,0,32.7,28,12.0,0.712
28116.0,0,32.8,26,3.0,-1.125
25805.0,0,30.4,24,0.0,-1.534
66178.0,1,46.8,23,15.0,1.278
58092.0,1,30.9,31,10.0,0.332
23368.0,0,44.4,18,3.0,-0.748
74567.0,1,34.2,16,18.0,1.551
33582.0,0,18.2,22,7.0,0.116
63989.0,0,32.3,23,12.0,1.179
45677.0,0,26.2,30,10.0,0.068
63331.0,1,38.3,29,22.0,2.061
70704.0,1,26.1,21,20.0,1.755
38638.0,1,47.3,24,7.0,-0.249
68673.0,1,37.1,28,15.0,0.972
46991.0,0,36.2,26,13.0,0.645
52248.0,0,44.6,34,18.0,1.369
46138.0,0,47.6,20,0.0,-0.965
59453.0,1,37.8,34,10.0,0.686
64082.0,0,30.3,28,14.0,1.058
14222.0,0,20.3,24,0.0,-1.759
14637.0,0,31.1,25,0.0,-1.183
32605.0,0,31.8,23,0.0,-2.039
42476.0,0,39.1,28,10.0,-0.269
58824.0,1,34.5,19,12.0,0.718
72313.0,1,44.9,25,17.0,1.502
44487.0,1,31.9,21,11.0,0.074
65868.0,0,37.4,23,13.0,1.629
41966.0,0,49.8,20,0.0,-1.38
26613.0,0,41.4,34,0.0,-1.703
53580.0,1,37.4,19,7.0,-0.056
32176.0,0,32.0,22,10.0,0.384
53048.0,0,31.7,27,11.0,-0.033
5739.0,0,29.5,20,0.0,-2.067
51394.0,0,32.6,26,9.0,-0.089
31805.0,0,45.6,16,0.0,-1.304
52336.0,0,35.8,27,9.0,0.67
44578.0,0,24.5,15,6.0,0.367
36352.0,1,55.7,20,0.0,-0.94
31548.0,0,41.2,19,6.0,-0.514
27731.0,0,23.9,21,2.0,-1.059
60050.0,0,33.6,19,7.0,-0.063
67846.0,0,39.1,29,13.0,0.955
26960.0,0,55.0,16,6.0,-0.986
52128.0,0,26.9,28,9.0,0.504
43869.0,1,47.8,25,7.0,-0.53
37046.0,0,52.0,28,3.0,-0.793
34350.0,0,31.7,23,7.0,-0.107
39528.0,1,35.2,29,4.0,-1.035
42970.0,0,27.6,22,8.0,-0.554
22649.0,0,36.0,20,0.0,-1.198
87566.0,1,37.6,27,21.0,1.965
62189.0,1,44.6,28,9.0,0.035
41624.0,0,48.9,20,4.0,-0.7
39792.0,1,30.5,26,10.0,0.214
49312.0,1,18.3,37,6.0,-0.112
45772.0,0,37.8,31,6.0,-0.221
57716.0,0,40.9,29,11.0,0.614
69588.0,1,40.5,22,14.0,0.758
35936.0,0,34.7,21,5.0,-0.531
55460.0,0,39.2,29,2.0,-0.576
46425.0,0,53.2,21,5.0,-0.275
15626.0,0,41.8,25,0.0,-2.302
44453.0,0,34.3,20,0.0,-1.515
70491.0,1,33.0,26,16.0,1.367
62647.0,1,36.3,19,18.0,1.645
48140.0,1,54.4,25,10.0,-0.249
59526.0,1,36.2,24,13.0,0.577
49898.0,1,37.8,22,11.0,0.311
84694.0,1,33.2,22,23.0,3.079
56146.0,1,49.0,23,14.0,1.12
31323.0,0,57.6,17,6.0,-0.128
34261.0,0,42.5,21,1.0,-0.956
29567.0,1,38.8,23,0.0,-1.606
52114.0,0,38.4,27,6.0,0.203
27538.0,0,14.2,24,1.0,-0.756
16926.0,0,45.5,18,1.0,-1.422
28920.0,0,39.3,21,4.0,-0.647
40909.0,0,42.3,24,0.0,-1.082
61046.0,1,30.9,21,18.0,1.687
50666.0,0,34.2,21,16.0,0.882
45188.0,1,33.9,27,8.0,-0.008
60138.0,0,48.2,29,18.0,1.48
40015.0,0,34.2,26,7.0,0.077
34420.0,1,58.8,28,2.0,-0.861
75329.0,0,42.3,26,18.0,1.523
54394.0,0,25.2,22,15.0,0.539
42143.0,0,36.7,24,5.0,-1.037
56133.0,1,31.5,24,8.0,-0.19
12602.0,0,16.1,26,3.0,-0.876
36753.0,1,54.0,26,3.0,-1.383
54279.0,1,45.0,19,15.0,0.926
79847.0,1,43.3,21,15.0,1.909
22534.0,0,39.7,25,0.0,-1.399
41249.0,0,24.2,25,12.0,0.563
27394.0,0,33.2,37,1.0,-0.651
36996.0,0,46.4,20,3.0,-0.487
43834.0,0,27.5,26,3.0,-0.592
32684.0,0,12.7,24,2.0,-0.864
37020.0,0,35.7,32,8.0,0.049
56037.0,1,36.6,30,2.0,-0.831
54645.0,0,39.4,30,11.0,0.27
54709.0,1,45.3,25,7.0,-0.05
56169.0,1,44.4,24,6.0,-0.239
22176.0,0,40.6,29,0.0,-0.908
34181.0,0,50.0,33,7.0,-0.577
57170.0,0,22.8,19,11.0,0.755
44282.0,0,43.0,20,9.0,0.501
32009.0,0,44.3,25,3.0,-0.978
43911.0,1,25.6,11,7.0,0.099
45343.0,1,23.0,29,11.0,0.751
20362.0,0,30.5,22,0.0,-1.669
61044.0,1,31.4,26,11.0,0.543
44414.0,0,45.5,27,9.0,-0.663
62429.0,1,31.9,23,11.0,0.571
44235.0,1,29.4,18,5.0,-0.763
23871.0,0,31.9,16,0.0,-1.805
27761.0,0,49.2,15,0.0,-1.628
47423.0,0,38.1,24,6.0,0.048
40831.0,0,36.2,15,8.0,0.26
25944.0,0,36.9,26,3.0,-0.904
51084.0,1,50.9,20,14.0,0.639
22930.0,0,30.5,33,0.0,-1.662
41534.0,0,51.2,28,7.0,-0.066
37694.0,1,40.1,28,0.0,-1.211
40352.0,1,36.4,19,6.0,-0.652
55595.0,1,63.0,29,12.0,0.047
35903.0,0,27.4,25,3.0,-0.86
47820.0,0,34.5,17,8.0,-0.385
57158.0,1,25.7,20,15.0,1.006
52773.0,1,47.5,36,6.0,-0.577
60095.0,0,54.9,17,11.0,0.836
40985.0,0,54.7,15,0.0,-1.13
64911.0,0,50.2,19,12.0,0.53
67616.0,0,36.0,30,19.0,1.442
17023.0,0,34.3,32,0.0,-2.472
33109.0,0,21.3,22,0.0,-0.797
49217.0,0,58.4,15,10.0,0.577
39437.0,0,42.7,26,9.0,-0.203
55333.0,0,33.1,22,7.0,0.371
31035.0,0,51.3,20,2.0,-0.604
59498.0,1,28.3,20,9.0,0.087
47328.0,1,42.1,34,7.0,-0.156
87051.0,1,36.3,37,16.0,1.168
44266.0,0,44.4,29,7.0,0.254
50357.0,0,37.4,22,9.0,0.338
35066.0,0,23.5,25,8.0,-0.412
33117.0,0,38.8,26,3.0,-0.488
47693.0,0,48.5,14,8.0,-0.433
40445.0,0,37.7,23,8.0,0.394
39902.0,1,45.8,31,7.0,-0.421
51600.0,0,27.5,25,9.0,0.29
78025.0,1,37.7,21,18.0,2.075
46182.0,1,31.8,24,12.0,0.871
50062.0,1,45.5,26,7.0,-0.326
62293.0,1,38.3,19,15.0,1.201
31796.0,0,44.9,15,8.0,-0.408
17263.0,0,48.9,32,0.0,-2.038
20873.0,1,44.9,26,0.0,-1.008
37100.0,0,40.7,27,0.0,-1.871
46408.0,0,28.0,20,3.0,-0.352
34704.0,0,38.0,24,6.0,0.018
70509.0,0,32.7,24,20.0,1.676
46215.0,0,34.6,37,11.0,0.327
49927.0,0,34.3,29,6.0,-0.219
49514.0,0,28.2,25,13.0,0.829
12024.0,0,18.4,22,0.0,-2.211
46118.0,1,31.3,18,13.0,0.236
49282.0,0,39.9,25,13.0,0.771
35629.0,0,24.5,21,0.0,-1.479
64737.0,0,38.2,19,15.0,1.144
55592.0,0,57.0,39,12.0,0.338
51548.0,1,48.2,19,6.0,-0.415
45642.0,1,54.4,28,13.0,0.633
68207.0,1,41.9,36,22.0,2.271
52330.0,0,49.7,23,7.0,0.182
53177.0,0,30.8,27,8.0,0.248
41156.0,0,31.6,27,5.0,-0.459
14832.0,0,10.6,21,5.0,-0.85
51845.0,1,49.9,28,11.0,0.83
40370.0,0,53.4,25,4.0,-0.856
65241.0,0,32.5,29,9.0,0.072
49430.0,0,35.5,29,8.0,-0.478
61035.0,0,30.5,19,11.0,0.479
54496.0,1,41.8,21,6.0,0.334
64198.0,1,49.2,22,16.0,1.038
28198.0,0,20.6,26,9.0,-0.51
50190.0,0,42.1,26,8.0,-0.27
35654.0,1,35.2,27,1.0,-0.979
45780.0,0,39.1,27,3.0,-0.444
50662.0,0,42.6,26,8.0,0.377
55635.0,0,36.1,23,17.0,0.757
36477.0,1,37.0,27,2.0,-0.922
56111.0,0,35.9,21,12.0,0.87
74124.0,1,47.7,27,16.0,1.356
42860.0,1,42.2,22,10.0,0.413
58709.0,1,40.2,24,22.0,1.877
37015.0,0,25.3,24,1.0,-0.774
44221.0,1,34.2,26,3.0,-1.245
40145.0,1,47.0,18,0.0,-1.779
56414.0,1,38.4,26,19.0,1.496
50219.0,0,44.6,23,15.0,0.654
36349.0,0,55.7,31,8.0,-0.056
46513.0,0,48.4,30,9.0,0.28
39017.0,0,38.9,17,1.0,-1.125
76879.0,1,32.9,27,22.0,2.446
39529.0,0,12.5,24,5.0,0.129
49621.0,0,36.3,21,12.0,0.109
48460.0,1,34.7,18,13.0,0.726
67701.0,1,41.9,28,9.0,0.481
50914.0,1,36.5,27,5.0,0.224
33419.0,0,34.8,33,0.0,-0.79
51883.0,0,20.2,21,12.0,0.471
71689.0,0,28.6,15,18.0,1.882
75828.0,1,42.8,16,15.0,1.345
66212.0,0,55.2,31,19.0,1.593
47408.0,0,37.0,25,4.0,-0.511
36626.0,1,41.3,21,3.0,-0.99
42628.0,1,47.5,23,7.0,-0.126
38038.0,0,29.9,24,8.0,0.056
51105.0,1,41.7,16,11.0,1.094
16246.0,0,30.6,18,0.0,-1.692
76977.0,1,46.6,27,18.0,1.53
48585.0,0,39.5,23,6.0,-0.158
31195.0,0,41.0,29,8.0,-0.427
17310.0,0,30.2,23,7.0,-1.012
18904.0,0,45.1,33,0.0,-1.655
50991.0,0,58.8,21,16.0,0.823
44342.0,1,27.9,22,10.0,0.073
36594.0,0,34.6,16,0.0,-1.29
24425.0,0,40.3,20,1.0,-1.295
55194.0,0,45.9,23,10.0,-0.336
53547.0,1,32.4,24,17.0,1.669
34646.0,0,9.7,24,4.0,-0.26
37085.0,0,51.6,34,0.0,-1.503
52769.0,1,45.6,24,6.0,-0.246
37427.0,0,20.6,30,4.0,-0.273
20340.0,0,31.9,28,0.0,-2.697
55998.0,1,53.7,24,8.0,-0.054
40544.0,1,52.5,18,9.0,-0.231
