trial,arm_selected,reward,true_prob
129,1,1,0.55
130,1,1,0.55
131,1,0,0.55
132,1,1,0.55
133,1,1,0.55
134,1,1,0.55
135,1,1,0.55
136,1,0,0.55
137,1,0,0.55
138,1,1,0.55
139,1,1,0.55
140,1,1,0.55
141,1,1,0.55
142,1,1,0.55
143,1,1,0.55
144,1,1,0.55
145,1,0,0.55
146,1,1,0.55
147,1,1,0.55
148,1,1,0.55
149,1,0,0.55
150,1,1,0.55
151,1,0,0.55
152,0,0,0.3
153,1,1,0.55
154,1,1,0.55
155,1,0,0.55
156,1,0,0.55
157,1,1,0.55
158,1,0,0.55
159,1,1,0.55
160,1,0,0.55
161,1,1,0.55
162,1,1,0.55
163,1,1,0.55
164,1,1,0.55
165,1,1,0.55
166,1,0,0.55
167,1,1,0.55
168,1,0,0.55
169,1,1,0.55
170,1,1,0.55
171,1,0,0.55
172,1,0,0.55
173,1,1,0.55
174,1,1,0.55
175,1,1,0.55
176,1,0,0.55
177,1,0,0.55
178,1,1,0.55
179,1,1,0.55
180,1,1,0.55
181,1,1,0.55
182,1,0,0.55
183,1,1,0.55
184,1,0,0.55
185,1,0,0.55
186,1,1,0.55
187,1,0,0.55
188,1,0,0.55
189,1,1,0.55
190,1,1,0.55
191,1,1,0.55
192,1,0,0.55
193,1,0,0.55
194,1,0,0.55
195,1,1,0.55
196,1,0,0.55
197,1,0,0.55
198,1,0,0.55
199,1,0,0.55
200,1,1,0.55
201,1,1,0.55
202,1,1,0.55
203,1,1,0.55
204,1,1,0.55
205,1,1,0.55
206,1,1,0.55
207,1,1,0.55
208,2,0,0.4
209,1,1,0.55
210,1,1,0.55
211,1,1,0.55
212,1,0,0.55
213,1,0,0.55
214,1,1,0.55
215,1,1,0.55
216,1,1,0.55
217,1,1,0.55
218,1,1,0.55
219,1,0,0.55
220,1,1,0.55
221,1,1,0.55
222,1,0,0.55
223,1,1,0.55
224,1,0,0.55
225,1,0,0.55
226,1,0,0.55
227,1,1,0.55
228,1,1,0.55
229,1,1,0.55
230,1,1,0.55
231,1,1,0.55
232,1,0,0.55
233,1,0,0.55
234,1,1,0.55
235,1,0,0.55
236,1,1,0.55
237,1,1,0.55
238,1,1,0.55
239,1,0,0.55
240,1,1,0.55
241,1,0,0.55
242,1,1,0.55
243,1,1,0.55
244,1,1,0.55
245,1,0,0.55
246,1,1,0.55
247,1,0,0.55
248,1,1,0.55
249,1,1,0.55
250,1,0,0.55
251,1,0,0.55
252,1,0,0.55
253,1,1,0.55
254,1,1,0.55
255,1,0,0.55
256,1,1,0.55
257,1,0,0.55
258,1,1,0.55
259,1,1,0.55
260,1,1,0.55
261,1,1,0.55
262,1,1,0.55
263,1,0,0.55
264,1,0,0.55
265,1,1,0.55
266,1,0,0.55
267,1,0,0.55
268,1,1,0.55
269,1,0,0.55
270,1,1,0.55
271,1,1,0.55
272,1,0,0.55
273,1,0,0.55
274,1,0,0.55
275,1,0,0.55
276,1,0,0.55
277,1,0,0.55
278,2,0,0.4
279,1,1,0.55
280,1,1,0.55
281,1,1,0.55
282,1,1,0.55
283,1,0,0.55
284,1,0,0.55
285,1,1,0.55
286,1,1,0.55
287,1,0,0.55
288,1,0,0.55
289,1,1,0.55
290,1,0,0.55
291,1,1,0.55
292,1,1,0.55
293,1,1,0.55
294,1,0,0.55
295,1,0,0.55
296,1,1,0.55
297,1,0,0.55
298,1,1,0.55
299,1,1,0.55
300,1,0,0.55
301,1,1,0.55
302,1,1,0.55
303,1,0,0.55
304,1,1,0.55
305,1,1,0.55
306,1,1,0.55
307,1,0,0.55
308,1,1,0.55
309,1,1,0.55
310,1,1,0.55
311,1,1,0.55
312,1,0,0.55
313,1,1,0.55
314,1,0,0.55
315,1,0,0.55
316,1,1,0.55
317,1,0,0.55
318,1,0,0.55
319,1,1,0.55
320,1,1,0.55
321,1,1,0.55
322,1,1,0.55
323,1,0,0.55
324,1,1,0.55
325,1,0,0.55
326,1,0,0.55
327,1,1,0.55
328,1,1,0.55
329,1,1,0.55
330,1,1,0.55
331,1,1,0.55
332,1,1,0.55
333,1,1,0.55
334,1,1,0.55
335,1,1,0.55
336,1,0,0.55
337,1,0,0.55
338,1,0,0.55
339,1,1,0.55
340,1,1,0.55
341,1,1,0.55
342,1,0,0.55
343,1,0,0.55
344,1,0,0.55
345,1,0,0.55
346,1,0,0.55
347,1,1,0.55
348,1,1,0.55
349,1,1,0.55
350,1,0,0.55
351,1,1,0.55
352,1,1,0.55
353,1,0,0.55
354,1,1,0.55
355,1,0,0.55
356,1,0,0.55
357,1,0,0.55
358,1,1,0.55
359,1,0,0.55
360,1,0,0.55
361,1,0,0.55
362,1,1,0.55
363,1,1,0.55
364,1,0,0.55
365,1,1,0.55
366,1,1,0.55
367,1,0,0.55
368,1,1,0.55
369,1,1,0.55
370,1,0,0.55
371,1,1,0.55
372,1,1,0.55
373,1,1,0.55
374,1,0,0.55
375,1,1,0.55
376,1,1,0.55
377,1,1,0.55
378,1,1,0.55
379,1,0,0.55
380,1,1,0.55
381,1,0,0.55
382,1,0,0.55
383,1,0,0.55
384,1,1,0.55
385,1,0,0.55
386,1,0,0.55
387,1,1,0.55
388,1,1,0.55
389,1,1,0.55
390,1,1,0.55
391,1,1,0.55
392,1,0,0.55
393,1,1,0.55
394,1,1,0.55
395,1,1,0.55
396,1,1,0.55
397,1,1,0.55
398,1,1,0.55
399,1,0,0.55
400,1,1,0.55
401,1,0,0.55
402,1,1,0.55
403,1,0,0.55
404,1,1,0.55
405,1,1,0.55
406,1,0,0.55
407,1,0,0.55
408,1,0,0.55
409,1,0,0.55
410,1,0,0.55
411,1,1,0.55
412,1,1,0.55
413,1,1,0.55
414,1,1,0.55
415,1,1,0.55
416,1,1,0.55
417,1,0,0.55
418,1,0,0.55
419,1,0,0.55
420,1,0,0.55
421,1,0,0.55
422,1,1,0.55
423,1,1,0.55
424,1,0,0.55
425,1,1,0.55
426,1,1,0.55
427,1,1,0.55
428,1,0,0.55
429,1,1,0.55
430,1,0,0.55
431,1,1,0.55
432,1,0,0.55
433,1,1,0.55
434,1,1,0.55
435,1,1,0.55
436,1,0,0.55
437,1,1,0.55
438,1,1,0.55
439,1,1,0.55
440,1,0,0.55
441,1,1,0.55
442,1,0,0.55
443,1,1,0.55
444,1,1,0.55
445,1,1,0.55
446,1,0,0.55
447,1,1,0.55
448,1,1,0.55
449,1,0,0.55
450,1,0,0.55
451,1,1,0.55
452,1,0,0.55
453,1,1,0.55
454,1,1,0.55
455,1,1,0.55
456,1,1,0.55
457,1,1,0.55
458,1,1,0.55
459,1,1,0.55
460,1,1,0.55
461,1,1,0.55
462,1,0,0.55
463,1,0,0.55
464,1,1,0.55
465,1,0,0.55
466,1,1,0.55
467,1,1,0.55
468,1,1,0.55
469,1,0,0.55
470,1,1,0.55
471,1,1,0.55
472,1,0,0.55
473,1,0,0.55
474,1,0,0.55
475,1,0,0.55
476,1,0,0.55
477,1,0,0.55
478,1,0,0.55
479,1,1,0.55
480,1,1,0.55
481,1,1,0.55
482,1,1,0.55
483,1,1,0.55
484,1,1,0.55
485,1,1,0.55
486,1,1,0.55
487,1,1,0.55
488,1,1,0.55
489,1,1,0.55
490,1,0,0.55
491,1,1,0.55
492,1,1,0.55
493,1,0,0.55
494,1,0,0.55
495,1,1,0.55
496,1,1,0.55
497,1,0,0.55
498,1,0,0.55
499,1,1,0.55
500,1,1,0.55
501,1,1,0.55
502,1,0,0.55
503,1,1,0.55
504,1,1,0.55
505,1,1,0.55
506,1,1,0.55
507,1,1,0.55
508,1,1,0.55
509,1,1,0.55
510,1,1,0.55
511,1,1,0.55
512,1,0,0.55
513,1,1,0.55
514,1,1,0.55
515,1,0,0.55
516,1,0,0.55
517,1,1,0.55
518,1,1,0.55
519,1,0,0.55
520,1,1,0.55
521,1,1,0.55
522,1,1,0.55
523,1,1,0.55
524,1,0,0.55
525,1,1,0.55
526,1,0,0.55
527,1,0,0.55
528,1,1,0.55
529,1,1,0.55
530,1,1,0.55
531,1,1,0.55
532,1,0,0.55
533,1,1,0.55
534,1,1,0.55
535,1,1,0.55
536,1,0,0.55
537,1,1,0.55
538,1,1,0.55
539,1,1,0.55
540,1,1,0.55
541,1,0,0.55
542,1,1,0.55
543,1,1,0.55
544,1,1,0.55
545,1,1,0.55
546,1,1,0.55
547,1,0,0.55
548,1,1,0.55
549,1,1,0.55
550,1,1,0.55
551,1,1,0.55
552,1,1,0.55
553,1,1,0.55
554,1,1,0.55
555,1,0,0.55
556,1,0,0.55
557,1,0,0.55
558,1,0,0.55
559,1,1,0.55
560,1,0,0.55
561,1,1,0.55
562,1,1,0.55
563,1,1,0.55
564,1,0,0.55
565,1,1,0.55
566,1,1,0.55
567,1,0,0.55
568,1,0,0.55
569,1,0,0.55
570,1,1,0.55
571,1,1,0.55
572,1,0,0.55
573,1,1,0.55
574,1,1,0.55
575,1,0,0.55
576,1,0,0.55
577,1,1,0.55
578,1,0,0.55
579,1,1,0.55
580,1,1,0.55
581,1,1,0.55
582,1,1,0.55
583,1,0,0.55
584,1,1,0.55
585,1,1,0.55
586,1,1,0.55
587,1,1,0.55
588,1,1,0.55
589,1,0,0.55
590,1,0,0.55
591,1,0,0.55
592,1,1,0.55
593,1,1,0.55
594,2,0,0.4
595,1,0,0.55
596,1,0,0.55
597,1,1,0.55
598,1,0,0.55
599,1,0,0.55
600,1,1,0.55
601,1,0,0.55
602,1,0,0.55
603,1,0,0.55
604,1,1,0.55
605,1,0,0.55
606,1,0,0.55
607,1,1,0.55
608,1,1,0.55
609,1,1,0.55
610,1,0,0.55
611,1,1,0.55
612,1,0,0.55
613,1,0,0.55
614,1,0,0.55
615,1,0,0.55
616,1,1,0.55
617,1,1,0.55
618,1,1,0.55
619,1,0,0.55
620,1,1,0.55
621,1,1,0.55
622,1,1,0.55
623,1,0,0.55
624,1,0,0.55
625,1,1,0.55
626,1,0,0.55
627,1,1,0.55
628,1,0,0.55
629,1,1,0.55
630,1,1,0.55
631,1,0,0.55
632,1,1,0.55
633,1,1,0.55
634,1,1,0.55
635,1,0,0.55
636,1,0,0.55
637,1,1,0.55
638,1,0,0.55
639,1,0,0.55
640,1,0,0.55
641,1,0,0.55
642,1,0,0.55
643,1,1,0.55
644,1,1,0.55
645,1,0,0.55
646,1,1,0.55
647,1,0,0.55
648,1,1,0.55
649,1,0,0.55
650,1,1,0.55
651,1,1,0.55
652,1,0,0.55
653,1,0,0.55
654,1,1,0.55
655,1,1,0.55
656,1,0,0.55
657,1,0,0.55
658,1,1,0.55
659,1,0,0.55
660,1,0,0.55
661,1,1,0.55
662,1,1,0.55
663,1,1,0.55
664,1,0,0.55
665,1,1,0.55
666,1,0,0.55
667,1,1,0.55
668,1,0,0.55
669,1,0,0.55
670,1,0,0.55
671,1,0,0.55
672,1,0,0.55
673,1,1,0.55
674,1,1,0.55
675,1,1,0.55
676,1,0,0.55
677,1,0,0.55
678,1,0,0.55
679,1,0,0.55
680,1,1,0.55
681,1,1,0.55
682,1,0,0.55
683,1,1,0.55
684,1,0,0.55
685,1,1,0.55
686,1,0,0.55
687,1,0,0.55
688,1,0,0.55
689,1,1,0.55
690,1,1,0.55
691,1,0,0.55
692,1,0,0.55
693,1,1,0.55
694,1,1,0.55
695,1,0,0.55
696,1,0,0.55
697,1,0,0.55
698,1,0,0.55
699,1,1,0.55
700,1,1,0.55
701,1,0,0.55
702,1,0,0.55
703,1,1,0.55
704,1,1,0.55
705,1,0,0.55
706,1,0,0.55
707,1,1,0.55
708,1,0,0.55
709,1,0,0.55
710,1,1,0.55
711,1,0,0.55
712,1,1,0.55
713,1,1,0.55
714,1,0,0.55
715,1,1,0.55
716,1,0,0.55
717,1,0,0.55
718,1,1,0.55
719,1,1,0.55
720,1,0,0.55
721,1,1,0.55
722,1,0,0.55
723,1,1,0.55
724,1,1,0.55
725,1,1,0.55
726,1,1,0.55
727,1,1,0.55
728,1,0,0.55
729,1,0,0.55
730,1,1,0.55
731,1,1,0.55
732,1,1,0.55
733,1,1,0.55
734,1,1,0.55
735,1,0,0.55
736,1,1,0.55
737,1,0,0.55
738,1,1,0.55
739,1,1,0.55
740,1,0,0.55
741,1,1,0.55
742,1,0,0.55
743,1,0,0.55
744,1,1,0.55
745,1,0,0.55
746,1,1,0.55
747,1,0,0.55
748,1,1,0.55
749,1,0,0.55
750,1,0,0.55
751,1,1,0.55
752,1,1,0.55
753,1,1,0.55
754,1,1,0.55
755,1,1,0.55
756,1,1,0.55
757,1,1,0.55
758,1,1,0.55
759,1,0,0.55
760,1,1,0.55
761,1,0,0.55
762,1,1,0.55
763,1,1,0.55
764,1,1,0.55
765,1,1,0.55
766,1,0,0.55
767,1,0,0.55
768,1,1,0.55
769,1,0,0.55
770,1,1,0.55
771,1,1,0.55
772,1,1,0.55
773,1,0,0.55
774,1,0,0.55
775,1,0,0.55
776,1,0,0.55
777,1,1,0.55
778,1,0,0.55
779,1,1,0.55
780,1,0,0.55
781,1,1,0.55
782,1,1,0.55
783,1,0,0.55
784,1,1,0.55
785,1,0,0.55
786,1,1,0.55
787,1,0,0.55
788,1,0,0.55
789,1,1,0.55
790,1,1,0.55
791,1,0,0.55
792,1,1,0.55
793,1,1,0.55
794,1,1,0.55
795,1,1,0.55
796,1,1,0.55
797,1,1,0.55
798,1,0,0.55
799,1,1,0.55
800,1,0,0.55
801,1,0,0.55
802,1,1,0.55
803,1,1,0.55
804,1,1,0.55
805,1,0,0.55
806,1,0,0.55
807,1,1,0.55
808,1,1,0.55
809,1,1,0.55
810,1,1,0.55
811,1,0,0.55
812,1,1,0.55
813,1,1,0.55
814,1,0,0.55
815,1,1,0.55
816,1,1,0.55
817,1,0,0.55
818,1,1,0.55
819,1,1,0.55
820,1,0,0.55
821,1,1,0.55
822,1,1,0.55
823,1,0,0.55
824,1,1,0.55
825,1,0,0.55
826,1,1,0.55
827,1,0,0.55
828,1,0,0.55
829,1,1,0.55
830,1,1,0.55
831,1,1,0.55
832,1,1,0.55
833,1,1,0.55
834,1,0,0.55
835,1,1,0.55
836,1,1,0.55
837,1,0,0.55
838,1,1,0.55
839,1,1,0.55
840,1,0,0.55
841,1,1,0.55
842,1,1,0.55
843,1,1,0.55
844,1,0,0.55
845,1,1,0.55
846,1,1,0.55
847,1,1,0.55
848,1,1,0.55
849,1,0,0.55
850,1,1,0.55
851,1,0,0.55
852,1,0,0.55
853,1,1,0.55
854,1,1,0.55
855,1,0,0.55
856,1,1,0.55
857,1,1,0.55
858,1,1,0.55
859,1,0,0.55
860,1,1,0.55
861,1,0,0.55
862,1,1,0.55
863,1,0,0.55
864,1,1,0.55
865,1,1,0.55
866,1,1,0.55
867,1,1,0.55
868,1,1,0.55
869,1,0,0.55
870,1,0,0.55
871,1,0,0.55
872,1,1,0.55
873,1,1,0.55
874,1,1,0.55
875,1,0,0.55
876,1,1,0.55
877,1,0,0.55
878,1,0,0.55
879,1,1,0.55
880,1,0,0.55
881,1,0,0.55
882,1,1,0.55
883,1,0,0.55
884,1,0,0.55
885,1,1,0.55
886,1,0,0.55
887,1,0,0.55
888,1,0,0.55
889,1,0,0.55
890,1,1,0.55
891,1,0,0.55
892,1,0,0.55
893,1,0,0.55
894,1,1,0.55
895,1,1,0.55
896,1,1,0.55
897,1,1,0.55
898,1,0,0.55
899,1,1,0.55
900,1,0,0.55
901,1,1,0.55
902,1,0,0.55
903,1,0,0.55
904,1,0,0.55
905,1,0,0.55
906,1,0,0.55
907,1,0,0.55
908,1,0,0.55
909,1,0,0.55
910,1,1,0.55
911,1,1,0.55
912,1,1,0.55
913,1,1,0.55
914,1,0,0.55
915,1,1,0.55
916,1,0,0.55
917,1,1,0.55
918,1,0,0.55
919,1,0,0.55
920,1,0,0.55
921,1,1,0.55
922,1,0,0.55
923,1,1,0.55
924,1,1,0.55
925,1,1,0.55
926,1,1,0.55
927,1,1,0.55
928,1,1,0.55
929,1,0,0.55
930,1,0,0.55
931,1,1,0.55
932,1,1,0.55
933,1,0,0.55
934,1,0,0.55
935,1,1,0.55
936,1,1,0.55
937,1,1,0.55
938,1,0,0.55
939,1,1,0.55
940,1,1,0.55
941,1,0,0.55
942,1,0,0.55
943,1,1,0.55
944,1,1,0.55
945,1,0,0.55
946,1,1,0.55
947,1,1,0.55
948,1,1,0.55
949,1,0,0.55
950,1,0,0.55
951,1,0,0.55
952,1,1,0.55
953,1,1,0.55
954,1,0,0.55
955,1,1,0.55
956,1,1,0.55
957,1,0,0.55
958,1,1,0.55
959,1,1,0.55
960,1,0,0.55
961,1,1,0.55
962,1,1,0.55
963,1,1,0.55
964,1,0,0.55
965,1,1,0.55
966,1,1,0.55
967,1,0,0.55
968,1,0,0.55
969,1,0,0.55
970,1,1,0.55
971,1,0,0.55
972,1,0,0.55
973,1,0,0.55
974,1,0,0.55
975,1,1,0.55
976,1,1,0.55
977,1,1,0.55
978,1,1,0.55
979,1,1,0.55
980,1,0,0.55
981,1,1,0.55
982,1,0,0.55
983,1,1,0.55
984,1,1,0.55
985,1,0,0.55
986,1,0,0.55
987,1,1,0.55
988,1,0,0.55
989,1,0,0.55
990,1,0,0.55
991,1,1,0.55
992,1,1,0.55
993,1,1,0.55
994,1,1,0.55
995,1,0,0.55
996,1,0,0.55
997,1,1,0.55
998,1,0,0.55
999,1,1,0.55
1000,1,0,0.55
